"120326,248261,""d_cue_proceso Translations"",""Translations table for collection d_cue_proceso"",teleSYGRIS_D_CUE_PROCESO_TRANSLATIONS_248261,241617,NULL,1";;
120326,241606,d_rhh_pais,,teleSYGRIS_D_RHH_PAIS_241606,241617,248266,0;;
"120326,248262,""r_cue_actividad Translations"",""Translations table for collection r_cue_actividad"",teleSYGRIS_R_CUE_ACTIVIDAD_TRANSLATIONS_248262,241617,NULL,1";;
120326,241607,d_jur_primer_nivel,,teleSYGRIS_D_JUR_PRIMER_NIVEL_241607,241617,NULL,0;;
"120326,248263,""r_cue_subactividad Translations"",""Translations table for collection r_cue_subactividad"",teleSYGRIS_R_CUE_SUBACTIVIDAD_TRANSLATIONS_248263,241617,NULL,1";;
"120326,248264,""d_rhh_cuestionarios Translations"",""Translations table for collection d_rhh_cuestionarios"",teleSYGRIS_D_RHH_CUESTIONARIOS_TRANSLATION_248264,241617,NULL,1";;
120326,241609,r_jur_segundo_nivel,,teleSYGRIS_R_JUR_SEGUNDO_NIVEL_241609,241617,NULL,0;;
"120326,248265,""d_rhh_mes Translations"",""Translations table for collection d_rhh_mes"",teleSYGRIS_D_RHH_MES_TRANSLATIONS_248265,241617,NULL,1";;
120326,241610,r_jur_tercer_nivel,,teleSYGRIS_R_JUR_TERCER_NIVEL_241610,241617,NULL,0;;
"120326,248266,""d_rhh_pais Translations"",""Translations table for collection d_rhh_pais"",teleSYGRIS_D_RHH_PAIS_TRANSLATIONS_248266,241617,NULL,1";;
"120326,248267,""d_rhh_area_indicadores Translations"",""Translations table for collection d_rhh_area_indicadores"",teleSYGRIS_D_RHH_AREA_INDICADORES_TRANSLAT_248267,241617,NULL,1";;
120326,241612,d_rhh_ano,,teleSYGRIS_D_RHH_ANO_241612,241617,NULL,0;;
"120326,248268,""d_rhh_indicadores Translations"",""Translations table for collection d_rhh_indicadores"",teleSYGRIS_D_RHH_INDICADORES_TRANSLATIONS_248268,241617,NULL,1";;
"120326,248269,""r_rhh_indicadores Translations"",""Translations table for collection r_rhh_indicadores"",teleSYGRIS_R_RHH_INDICADORES_TRANSLATIONS_248269,241617,NULL,1";;
120326,241618,d_rhh_mes,,teleSYGRIS_D_RHH_MES_241618,241617,248265,0;;
120326,241619,r_jur_cuarto_nivel,,teleSYGRIS_R_JUR_CUARTO_NIVEL_241619,241617,NULL,0;;
120326,241622,d_rhh_escenarios,,teleSYGRIS_D_RHH_ESCENARIOS_241622,241617,NULL,0;;
120326,241623,u_rhh_carga_indicadores,,teleSYGRIS_U_RHH_CARGA_INDICADORES_241623,241617,NULL,0;;
120326,242656,d_rhh_tipo_de_entidad,,teleSYGRIS_D_RHH_TIPO_DE_ENTIDAD_242656,241617,NULL,0;;
120326,241633,r_rhh_indicadores,,teleSYGRIS_R_RHH_INDICADORES_241633,241617,248269,0;;
120326,242657,r_rhh_tipo_entidad_juridica,,teleSYGRIS_R_RHH_TIPO_ENTIDAD_JURIDICA_242657,241617,NULL,0;;
120326,252648,rhh_export_edades_materializada,,teleSYGRIS_RHH_EXPORT_EDADES_MATERIALIZADA_252648,241617,NULL,0;;
120326,248302,Manual_eng,,teleSYGRIS_MANUAL_ENG_248302,241617,NULL,0;;
120326,241655,d_cue_proceso,,teleSYGRIS_D_CUE_PROCESO_241655,241617,248261,0;;
120326,241656,r_cue_actividad,,teleSYGRIS_R_CUE_ACTIVIDAD_241656,241617,248262,0;;
120326,241657,r_cue_subactividad,,teleSYGRIS_R_CUE_SUBACTIVIDAD_241657,241617,248263,0;;
120326,241658,d_rhh_cuestionarios,,teleSYGRIS_D_RHH_CUESTIONARIOS_241658,241617,248264,0;;
"120326,243450,""Responsables de sociedades juridicas"",""Relaciona cada usuario con rol de responsable con las sociedades jurídicas que le atañen."",teleSYGRIS_RESPONSABLES_DE_SOCIEDADES_JURI_243450,241617,NULL,0";;
120326,241659,u_rhh_carga_subactividades,,teleSYGRIS_U_RHH_CARGA_SUBACTIVIDADES_241659,241617,NULL,0;;
"120326,239396,""Contribuciones a organizaciones"",,teleSYGRIS_CONTRIBUCIONES_A_ORGANIZACIONES_239396,241499,NULL,0";;
120326,241293,Divisa,,teleSYGRIS_DIVISA_241293,241499,NULL,0;;
"120326,245909,""Tipo de cambio cuestionario etica"",,teleSYGRIS_TIPO_DE_CAMBIO_CUESTIONARIO_ETI_245909,241499,NULL,0";;
120326,233087,Trimestre_Indicadores,,teleSYGRIS_TRIMESTRE_INDICADORES_233087,232634,NULL,0;;
120326,255147,Compliance_trimestres,,teleSYGRIS_COMPLIANCE_TRIMESTRES_255147,232634,NULL,0;;
"120326,232633,""Materia Compliance"",,teleSYGRIS_MATERIA_COMPLIANCE_232633,232634,232667,0";;
"120326,232635,""Submateria Compliance"",,teleSYGRIS_SUBMATERIA_COMPLIANCE_232635,232634,232668,0";;
"120326,232638,""Indicador Compliance"",,teleSYGRIS_INDICADOR_COMPLIANCE_232638,232634,232654,0";;
120326,232642,Compliance,,teleSYGRIS_COMPLIANCE_232642,232634,NULL,0;;
"120326,232654,""Indicador Compliance Translations"",""Translations table for collection Indicador Compliance"",teleSYGRIS_INDICADOR_COMPLIANCE_TRANSLATIO_232654,232634,NULL,1";;
"120326,232667,""Materia Compliance Translations"",""Translations table for collection Materia Compliance"",teleSYGRIS_MATERIA_COMPLIANCE_TRANSLATIONS_232667,232634,NULL,1";;
"120326,232668,""Submateria Compliance Translations"",""Translations table for collection Submateria Compliance"",teleSYGRIS_SUBMATERIA_COMPLIANCE_TRANSLATI_232668,232634,NULL,1";;
