App_oid,Collection_oid,Field_id,Name,Datatype_id,Description,Required,Calculated,Formula,Translatable
"120326,187309,5304,""Anhydrous Ethanol (Biofuel) CH4"",4,,0,1,""if ([4788] == 1, ([4789]/(1-get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4813'))-[4789])*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '5293'))/1000000"",0"
"120326,187309,4793,""Emisiones CO2eq"",4,,0,1,[4790]*1+[4791]*25+[4792]*298,0"
"120326,187309,5305,""Anhydrous Ethanol (Biofuel) N2O"",4,,0,1,""if ([4788] == 1, ([4789]/(1-get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4813'))-[4789])*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '5294'))/1000000"",0"
"120326,187309,5306,""Hydrous Ethanol (Biofuel) (Etanol) CO2"",4,,0,1,""if ([4788] == 4, [4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4811'))/1000000"",0"
"120326,187309,5307,""Hydrous Ethanol (Biofuel) (Etanol) CH4"",4,,0,1,""if ([4788] == 4, [4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '5289'))/1000000"",0"
"120326,187309,5308,""Hydrous Ethanol (Biofuel) (Etanol) N2O"",4,,0,1,""if ([4788] == 4, [4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '5290'))/1000000"",0"
"120326,187309,5309,""100% Biodiesel (Biofuel) CO2"",4,,0,1,""if ([4788] == 5, [4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4812'))/1000000"",0"
"120326,187309,5310,""100% Biodiesel (Biofuel) CH4"",4,,0,1,""if ([4788] == 5, [4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '5297'))/1000000"",0"
"120326,187309,5311,""100% Biodiesel (Biofuel) N2O"",4,,0,1,""if ([4788] == 5, [4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '5298'))/1000000"",0"
"120326,187309,4803,""Anhydrous Ethanol (Biofuel) CO2eq"",4,,0,1,[5303]*1+[5304]*25+[5305]*298,0"
